,name,year,latitude,longitude,city,region,zipCode,cuisine,price,url,stars
0,Kilian Stuba,2019,47.34858,10.17114,Kleinwalsertal,Austria,87568,Creative,$$$$$,https://guide.michelin.com/at/en/vorarlberg/kleinwalsertal/restaurant/kilian-stuba,1
1,Pfefferschiff,2019,47.83787,13.07917,Hallwang,Austria,5300,Classic cuisine,$$$$$,https://guide.michelin.com/at/en/salzburg-region/hallwang/restaurant/pfefferschiff,1
2,Esszimmer,2019,47.80685,13.034089999999999,Salzburg,Austria,5020,Creative,$$$$$,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/esszimmer,1
3,Carpe Diem,2019,47.80001,13.04006,Salzburg,Austria,5020,Market cuisine,$$$$$,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/carpe-diem,1
4,Edvard,2019,48.216503,16.36852,Wien,Austria,1010,Modern cuisine,$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/edvard,1
5,Das Loft,2019,48.212720000000004,16.37931,Wien,Austria,1020,Modern cuisine,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/das-loft,1
6,Pramerl & the Wolf,2019,48.20945,16.37174,Wien,Austria,1090,Creative,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/pramerl-the-wolf,1
7,Walter Bauer,2019,48.20923,16.376720000000002,Wien,Austria,1010,Classic cuisine,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/walter-bauer,1
8,SHIKI,2019,48.204066999999995,16.37098,Wien,Austria,1010,Japanese,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/shiki,1
9,Tian,2019,48.20513,16.37456,Wien,Austria,1010,Vegetarian,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/tian,1
10,aend,2019,48.18957,16.34115,Wien,Austria,1010,Modern cuisine,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/aend,1
11,Le Ciel by Toni Mörwald,2019,48.202090000000005,16.371560000000002,Wien,Austria,1010,Classic cuisine,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/le-ciel-by-toni-morwald,1
12,Chez TJ,2019,37.39468,-122.08044,South San Francisco,California,94041,Contemporary,$$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/chez-tj,1
13,Protégé,2019,37.427853000000006,-122.14362,South San Francisco,California,94301,Contemporary,$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/protege,1
14,Madera,2019,37.42014,-122.21151,San Francisco,California,94025,Contemporary,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madera,1
15,The Village Pub,2019,37.42897,-122.25178000000001,San Francisco,California,94062,Contemporary,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-village-pub,1
16,Plumed Horse,2019,37.256479999999996,-122.03537,South San Francisco,California,95070,Contemporary,$$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/plumed-horse,1
